question;niveau;recommandation1;recommandation2;cap
16;2;Formaliser les circuits d'orientation entre acteurs~~n~~Décrire les principales étapes des parcours, identifier les interlocuteurs de référence et partager des modalités communes d'orientation afin de sécuriser les passages d'un acteur à l'autre.;Tester les circuits d'orientation sur des parcours prioritaires~~n~~Suivre quelques situations concrètes, recueillir les retours des professionnels, des chercheurs d'emploi et des employeurs, puis ajuster collectivement les modalités d'orientation pour réduire les ruptures de parcours.;Passer de pratiques d'orientation ponctuelles à des parcours formalisés et partagés entre acteurs, afin de sécuriser les transitions, de limiter les ruptures de parcours et de renforcer la coordination de la relation avec les entreprises.
16;3;Généraliser les circuits d'orientation à l'ensemble des acteurs du CLPE~~n~~Diffuser les procédures communes, désigner les interlocuteurs de référence et veiller à ce que chaque acteur applique les mêmes modalités d'orientation sur les principaux parcours.;Mesurer l'impact des orientations sur les parcours et les entreprises~~n~~Suivre régulièrement des indicateurs (délais d'orientation, ruptures de parcours, accès effectif aux services, satisfaction des chercheurs d'emploi et des entreprises, résultats de la coordination de la TFE), partager les résultats en CLPE et ajuster les pratiques pour améliorer la fluidité des parcours et leur impact sur le territoire.;Passer de parcours d'orientation fluides et coordonnés à un pilotage collectif des parcours, permettant d'évaluer leur impact, d'améliorer en continu les pratiques d'orientation et de garantir un accès simple et efficace aux services pour les chercheurs d'emploi et les les employeurs.
17;1;Identifier les sujets à faire remonter au niveau départemental~~n~~À partir de la feuille de route et des actions du CLPE, recenser les difficultés qui nécessitent un appui à l'échelon départemental (besoin d'arbitrage, financement, évolution d'une offre, coordination entre plusieurs territoires…) et préparer les messages à transmettre au CDPE.;Mettre en place un circuit simple de remontées vers le CDPE~~n~~Désigner les personnes chargées de porter les sujets du CLPE au CDPE, préciser les modalités de transmission et prévoir un temps de restitution au CLPE des décisions, orientations ou appuis obtenus.;Passer d'échanges ponctuels entre les différents échelons à une organisation permettant de faire remonter les besoins du territoire et de partager les retours du niveau départemental avec l'ensemble des membres du CLPE..
17;2;Organiser des remontées régulières vers le CDPE~~n~~À chaque étape importante de la feuille de route, partager les avancées, les difficultés rencontrées, les besoins d'appui et les sujets nécessitant un arbitrage ou une coordination départementale.;Répartir les sujets entre les différents niveaux de gouvernance. ~~n~~Identifier les sujets qui relèvent du CLPE, ceux qui nécessitent un appui du CDPE et ceux qui doivent être portés au CRPE, afin que les besoins du territoire soient pris en compte au bon niveau.;Passer de remontées d'information régulières à une articulation structurée entre le CLPE, le CDPE et le CRPE, permettant de coordonner les décisions, les moyens mobilisés et les actions conduites sur le territoire.
17;3;Formaliser les échanges entre le CLPE, le CDPE et le CRPE. ~~n~~Mettre en place des temps réguliers pour faire remonter les besoins, les résultats et les difficultés du territoire, puis partager les décisions et orientations prises aux niveaux départemental et régional.;Faire de l'articulation entre les trois niveaux un levier d'action pour le territoire~~n~~Mobiliser les remontées du CLPE pour obtenir les arbitrages, les financements ou les évolutions d'offres nécessaires, puis suivre les décisions prises et leur impact sur les actions conduites et les besoins du territoire;Passer d'une articulation régulière entre le CLPE, le CDPE et le CRPE à une coopération pleinement intégrée, permettant d'orienter les décisions, de mobiliser les moyens adaptés et de renforcer l'impact des actions conduites sur le territoire grâce à une logique d'ascendance effective.
18;1;Organiser une première consultation des usagers sur une priorité du CLPE~~n~~Recueillir l'expérience de chercheurs d'emploi, d'employeurs ou de leurs représentants sur un enjeu du territoire ou une action du CLPE, en utilisant un format simple (atelier, entretien, questionnaire, groupe d'échange…) adapté au contexte local;Transformer les retours des usagers en premières actions d'amélioration~~n~~Présenter les enseignements de la consultation en réunion du CLPE, identifier les évolutions à mettre en œuvre et intégrer au moins une action ou un ajustement dans la feuille de route commune;Passer d'une absence d'association des usagers à des consultations régulières permettant d'enrichir les travaux du CLPE et d'adapter les premières actions aux besoins exprimés.
18;2;Mettre en place un calendrier partagé d'association des usagers~~n~~Prévoir leur association à des étapes clés du fonctionnement du CLPE (diagnostic territorial, mise en oeuvre d'une action, expérimentation, évaluation) et définir les modalités de consultation les plus adaptées.;Assurer le suivi des consultations des usagers~~n~~Formaliser les principaux retours recueillis, les partager avec l'ensemble des membres du CLPE et préciser les décisions ou les évolutions apportées aux actions en réponse à ces contributions.;Passer de consultations ponctuelles à une association régulière et organisée des usagers, permettant d'éclairer les décisions du CLPE et d'améliorer la pertinence des actions conduites sur le territoire.
18;3;Faire des retours des usagers un appui aux décisions du CLPE~~n~~Analyser régulièrement les retours recueillis afin d'identifier les évolutions à apporter aux parcours, aux offres de services ou aux actions engagées sur le territoire.;Évaluer l'impact de la participation des usagers sur les décisions du CLPE~~n~~Présenter régulièrement les propositions formulées, les suites qui leur ont été données et les évolutions apportées aux priorités, aux offres de services ou aux actions afin de mesurer la valeur ajoutée de leur contribution et de renforcer l'impact des actions sur le territoire.;Passer d'une association régulière des usagers à une participation pleinement intégrée au fonctionnement opérationnel du CLPE, permettant de faire évoluer les priorités, d'améliorer les services et de renforcer l'impact des actions sur le territoire grâce à l'expérience des usagers.
19;1;Identifier les premières actions du CLPE à capitaliser~~n~~Lors des revues de la feuille de route, sélectionner les actions ayant produit des résultats ou un impact significatif, puis formaliser les principaux éléments : besoin traité, solution mise en œuvre, acteurs mobilisés, résultats obtenus et facteurs de réussite.;Partager les premières actions inspirantes~~n~~Diffuser les actions identifiées dans les outils du RPE et lors des échanges avec les autres territoires afin de faire connaître les pratiques mises en œuvre et de favoriser leur valorisation, voire inspiration.;Passer d'une capitalisation ponctuelle des actions à une démarche partagée permettant d'identifier, de formaliser et de diffuser les premières actions inspirantes.
19;2;Définir une méthode commune pour identifier les actions inspirantes~~n~~Retenir des critères simples (résultats obtenus, impact sur les usagers, coopération réussie, transférabilité, conditions de réussite, objectifs mesurables) afin de qualifier les actions à capitaliser.;Organiser un rendez-vous régulier de capitalisation~~n~~À chaque bilan de la feuille de route, sélectionner les actions répondant à ces critères, les formaliser selon un format commun et planifier leur diffusion auprès des autres CLPE via les outils du RPE et par remontée aux échelons supra.;Passer d'une diffusion occasionnelle des actions à une démarche structurée de capitalisation permettant de partager régulièrement les pratiques inspirantes et de favoriser leurs remontées aux échelons supra
19;3;Capitaliser les actions à fort impact pour faciliter leur adaptation à d'autres territoires~~n~~Formaliser les actions inspirantes en précisant les besoins auxquels elles répondent, les résultats et impacts obtenus, les conditions de réussite, les ressources mobilisées et les éléments facilitant leur adaptation par d'autres territoires.;Faire de la capitalisation un levier d'amélioration continue ~~n~~Identifier régulièrement (via le TDB RPE) des actions à fort impact conduites dans d'autres CLPE, analyser leur transférabilité, partager les enseignements au sein du comité et suivre les adaptations mises en œuvre afin de renforcer l'impact des actions sur le territoire.;Passer d'une démarche de capitalisation et de diffusion des actions à une démarche pleinement intégrée d'apprentissage collectif, permettant d'identifier, de partager et d'adapter les actions à fort impact au bénéfice du territoire et de l'ensemble du RPE.
20;1;Identifier les actions et les offres à faire connaître en priorité ~~n~~Choisir quelques actions ou services répondant aux priorités du CLPE et préciser les publics auxquels ils s'adressent.;Partager ces actions et offres avec les acteurs du CLPE~~n~~Utiliser les canaux de communication déjà existants (site internet, réseaux sociaux, newsletters, accueils, réunions…) pour diffuser les mêmes informations auprès des usagers et des entreprises.;Passer d'une communication ponctuelle à une communication partagée permettant de mieux faire connaître les actions et les offres du territoire aux usagers et l'ensemble des acteurs du territoire.
20;2;Planifier les principales communications du CLPE ~~n~~Identifier les actions et les offres à valoriser au cours de l'année et convenir des acteurs chargés de leur diffusion.;Coordonner la diffusion entre les acteurs du territoire~~n~~Préparer des messages simples et communs afin que les différents membres du CLPE relaient les mêmes informations auprès des publics.;Passer d'une communication organisée sur certaines actions à une communication régulière et coordonnée permettant d'améliorer la visibilité et la lisbilité des offres ainsi que l'accès des usagers aux services du territoire.
20;3;Adapter la communication aux différents publics~~n~~Identifier, pour les principales actions et offres, les publics visés et les canaux les plus adaptés afin d'améliorer leur visibilité auprès des usagers et des acteurs concernés;Vérifier que les actions et les offres du CLPE sont bien connues~~n~~Recueillir régulièrement les retours des partenaires, des chercheurs d'emploi, des citoyens et des entreprises afin d'identifier les informations à mieux diffuser ou à rendre plus accessibles.;Passer d'une communication régulière des actions et des offres à une communication pleinement intégrée au fonctionnement opérationnel du CLPE, permettant d'améliorer durablement leur visibilité, leur compréhension et leur utilisation.
